STATION_ID,LINE_ID,STOP_SEQUENCE
37,1,1
13612,1,2
13638,1,3
13639,1,4
13640,1,5
13641,1,6
13828,1,7
13829,1,8
13830,1,9
13831,1,10
13837,1,11
13838,1,12
13839,1,13
13840,1,14
13841,1,15
13842,1,16
13843,1,17
13,2,1
12,2,2
11,2,3
10,2,4
9,2,5
13844,2,6
8,2,7
7,2,8
6,2,9
5,2,10
4,2,11
3,2,12
2,2,13
1,2,14
13836,2025,1
13835,2025,2
13834,2025,3
13846,2026,1
5409,2026,2
5410,2026,3
5411,2026,4
5412,2026,5
5413,2026,6
13845,2026,7
5415,2026,8
5416,2026,9
5417,2026,10
13846,2027,1
13849,2027,2
13848,2027,3
13847,2027,4
14118,2224,1
14119,2224,2
14393,2224,3
14121,2224,4
14122,2224,5
14123,2224,6
14124,2224,7
14125,2224,8
14126,2224,9
14127,2224,10
14128,2224,11
14129,2224,12
14130,2224,13
14131,2224,14
14132,2224,15
14133,2224,16
14134,2224,17
14135,2224,18
14136,2224,19
14137,2224,20
14138,2224,21
14139,2224,22
14117,2224,23
359,2436,1
14622,2436,2
14623,2436,3
14624,2436,4
14625,2436,5
14626,2436,6
14627,2436,7
14628,2436,8
14629,2436,9
14630,2436,10
14631,2436,11
14632,2436,12
14633,2436,13
14634,2436,14
14635,2436,15
14636,2436,16
14637,2436,17
14638,2436,18
14639,2436,19
14640,2436,20
14641,2436,21
14642,2436,22
14643,2436,23
14644,2436,24
14645,2436,25
14646,2436,26
14647,2436,27
14648,2436,28
14649,2436,29
14650,2436,30
331,3,1
334,3,2
346,3,3
352,3,4
339,3,5
340,3,6
351,3,7
342,3,8
344,3,9
360,3,10
350,3,11
345,3,12
341,3,13
361,3,14
333,3,15
336,3,16
329,3,17
337,3,18
343,3,19
13624,3,20
13625,3,21
13626,3,22
13627,3,23
13628,3,24
13632,3,25
13633,3,26
13634,3,27
13635,3,28
13636,3,29
13637,3,30
331,4,1
335,4,2
347,4,3
354,4,4
356,4,5
359,4,6
338,4,7
362,4,8
358,4,9
332,4,10
357,4,11
349,4,12
330,4,13
355,4,14
353,4,15
348,4,16
321,5,1
327,5,2
324,5,3
328,5,4
325,5,5
323,5,6
322,5,7
326,5,8
