stop_id,stop_name,stop_lat,stop_lon,zone_id,wheelchair_boarding
1,BTS บางหว้า;BTS Bang Wa,13.72076662,100.4578357,1,1
2,BTS วุฒากาศ;BTS Wutthakat,13.7130277,100.4690198,2,1
3,BTS ตลาดพลู;BTS Talat Phlu,13.71421714,100.4766927,3,1
4,BTS โพธิ์นิมิตร;BTS Pho Nimit,13.71922897,100.4859262,4,1
5,BTS วงเวียนใหญ่;BTS Wongwian Yai,13.7210877,100.4951403,5,1
6,BTS กรุงธนบุรี;BTS Krung Thon Buri,13.7209017,100.5026129,6,1
7,BTS สะพานตากสิน;BTS Saphan Taksin,13.71880193,100.5141446,7,1
8,BTS สุรศักดิ์;BTS Surasak,13.71919616,100.5214156,8,1
9,BTS ช่องนนทรี;BTS Chong Nonsi,13.72378634,100.5294145,9,1
10,BTS ศาลาแดง;BTS Sala Daeng,13.72852833,100.5343444,10,1
11,BTS ราชดำริ;BTS Ratchadamri,13.7394539,100.5394443,11,1
12,BTS สยาม;BTS Siam,13.74560808,100.5342019,12,1
13,BTS สนามกีฬาแห่งชาติ;BTS National Stadium,13.74649792,100.5290857,13,1
14,BTS สำโรง;BTS Samrong,13.64617528,100.5956435,14,1
15,BTS เเบริ่ง;BTS Bearing,13.66116386,100.6018391,15,1
16,BTS บางนา;BTS Bang Na,13.66811773,100.6046618,16,1
17,BTS อุดมสุข;BTS Udom Suk,13.67987118,100.609485,17,1
18,BTS ปุณณวิถี;BTS Punnawithi,13.68932551,100.6090339,18,1
19,BTS บางจาก;BTS Bang Chak,13.69678331,100.6053733,19,1
20,BTS อ่อนนุช;BTS On Nut,13.70560444,100.6010308,20,1
21,BTS พระโขนง;BTS Phra Khanong,13.71516419,100.5912722,21,1
22,BTS เอกมัย;BTS Ekkamai,13.71958047,100.5850719,22,1
23,BTS ทองหล่อ;BTS Thong Lo,13.72423968,100.5785337,23,1
24,BTS พร้อมพงษ์;BTS Phrom Phong,13.73041652,100.5697533,24,1
25,BTS อโศก;BTS Asok,13.73706037,100.5603259,25,1
26,BTS นานา;BTS Nana,13.74052651,100.5554426,26,1
